NAME	X	Y	AREA
SAimp_3199-1	1075957.026	1066255.244	0.736
SAimp_E-node-2110-2	1075960.93	1063804.975	0.115
SAimp_3880	1075961.55	1060050.312	0.402
SAimp_5264-1	1075970.787	1061287.016	0.136
SAimp_5108-1	1075979.827	1063510.683	0.1
Parking_E-MH-2170	1076013.712	1062917.184	0.126
Parking_3884	1076025.642	1059516.601	0.254
SAimp_3292	1076032.917	1064913.933	0.301
SAimp_E-node-2170	1076038.151	1064737.862	0.273
SAimp_E-MH-2170	1076048.712	1062892.184	0.297
SAimp_5262	1076055.607	1061653.055	0.159
Parking_3873	1076055.86	1060763.906	0.973
SAimp_3884	1076060.642	1059491.601	0.286
Parking_3877	1076063.463	1060445.389	1.004
SAimp_5264-2	1076067.901	1061391.672	0.103
SAimp_E-node-1561-3	1076072.583	1063356.019	0.165
SAimp_3873	1076090.86	1060738.906	0.494
SAimp_3494-1	1076093.344	1067415.96	2.489
SAimp_3877	1076098.463	1060420.389	0.442
Parking_E-node-1553	1076098.819	1059850.076	0.2
Parking_5110-3	1076100.52	1063096.414	0.213
SAimp_E-node-1612-2	1076109.258	1062505.999	0.441
SAimp_3869	1076109.448	1060932.746	0.117
SAimp_5264	1076113.326	1061101.176	0.196
SAimp_E-MH-10415-2	1076124.808	1064600.949	0.156
SAimp_E-node-1553	1076133.819	1059825.076	0.426
SAimp_5110-3	1076135.52	1063071.414	0.14
SAimp_E-MH-10415-1	1076136.116	1064433.323	0.268
Parking_4004-1	1076140.842	1064159.717	0.335
SAimp_E-node-1612-4	1076153.821	1061994.102	0.135
SAimp_E-node-2110-1	1076170.571	1063802.883	0.21
SAimp_E-MH-10132	1076173.105	1061449.291	0.111
SAimp_4004-1	1076175.842	1064134.717	0.33
Parking_E-node-1571-2	1076177.993	1065162.099	0.101
SAimp_E-node-1572-1	1076184.963	1065434.572	0.501
Parking_3494-2	1076212.948	1067111.733	0.358
SAimp_E-node-1571-2	1076212.993	1065137.099	0.581
SAimp_E-MH-1775	1076244.937	1059219.493	0.584
SAimp_3494-2	1076247.948	1067086.733	0.363
SAimp_E-MH-10102	1076261.795	1061289.411	0.139
Parking_3511-2	1076268.674	1067665.524	0.136
Parking_E-node-1612-1	1076270.677	1062264.33	0.238
SAimp_E-node-1548	1076299.492	1061936.745	0.383
SAimp_E-node-1570-2	1076302.955	1065644.669	0.276
SAimp_3511-2	1076303.674	1067640.524	1.977
