NAME	X	Y
Parking_2331	1080964.46700000000	1071182.32100000000
Parking_2358	1081288.80300000000	1070530.17700000000
Parking_2380	1081766.27900000000	1072845.46900000000
Parking_2438-1	1080040.29800000000	1063204.41400000000
Parking_2501-1	1087025.10400000000	1062901.63200000000
Parking_2501-2	1087043.00900000000	1063029.87200000000
Parking_253	1064853.65000000000	1077265.16300000000
Parking_254OF	1086491.92700000000	1073641.42000000000
Parking_2555-3	1088475.10200000000	1063215.34800000000
Parking_2555-4	1088382.38500000000	1062828.23500000000
Parking_2586-1	1073596.42100000000	1071148.69300000000
Parking_2658-1	1088700.27000000000	1064903.65800000000
Parking_2658-2	1088573.33100000000	1064977.55800000000
Parking_2677	1089150.41700000000	1066897.51100000000
Parking_2697-1	1089147.32800000000	1064901.95500000000
Parking_2711	1087512.68000000000	1065459.39800000000
Parking_2718	1087084.75200000000	1066730.01200000000
Parking_2726	1087115.70400000000	1067007.91500000000
Parking_2735-1	1088587.29200000000	1068051.20000000000
Parking_2735-2	1086865.31400000000	1067953.57200000000
Parking_2740-1	1088688.73500000000	1068546.07100000000
Parking_2752	1089975.03900000000	1069092.30200000000
Parking_2752-1	1089550.87300000000	1069247.51400000000
Parking_2778	1090180.20200000000	1068818.58900000000
Parking_2812	1087693.14400000000	1064952.87300000000
Parking_2815-1	1088176.01400000000	1064951.71800000000
Parking_2823-1	1087140.36000000000	1070075.60000000000
Parking_2859	1090128.90300000000	1069553.82000000000
Parking_292	1066030.06200000000	1073964.55200000000
Parking_2959-1	1085051.02200000000	1061165.93300000000
Parking_3003	1088105.11800000000	1065403.99200000000
Parking_3004	1085250.71300000000	1064366.70300000000
Parking_301	1065503.82100000000	1074550.71400000000
Parking_3010	1085682.42400000000	1064825.76600000000
Parking_3016	1085199.58900000000	1065542.35200000000
Parking_3018-1	1084766.79900000000	1064917.26500000000
Parking_3018-2	1084732.91800000000	1065535.14400000000
Parking_3024-1	1084495.55900000000	1064721.65000000000
Parking_3024-3	1084206.00000000000	1064976.62600000000
Parking_3063	1083728.70900000000	1065782.34100000000
Parking_3063-1	1083696.48700000000	1064715.79600000000
Parking_3067-1	1082769.52800000000	1065793.67800000000
Parking_307	1065507.10100000000	1075051.40700000000
Parking_3108	1084480.40200000000	1067140.79400000000
Parking_3146	1082814.36500000000	1066868.98000000000
Parking_315	1065458.87900000000	1075559.40100000000
Parking_3150	1083529.93600000000	1069058.93300000000
Parking_3154	1082371.37700000000	1068523.75000000000
Parking_3167	1083608.08600000000	1069362.64300000000
Parking_3181	1084548.49200000000	1064047.42100000000
Parking_3193	1075533.77200000000	1065961.81800000000
Parking_3199-1	1075922.02600000000	1066280.24400000000
Parking_3199-2	1075741.09800000000	1066163.81300000000
Parking_321	1065636.53900000000	1076396.26700000000
Parking_3227	1082029.44300000000	1067384.73100000000
Parking_3253-2	1071658.86800000000	1065038.03800000000
Parking_3253-3	1072189.62900000000	1064732.86900000000
Parking_3281	1074687.55400000000	1064687.68900000000
Parking_3299-1	1077009.13600000000	1064514.30300000000
Parking_3330	1076927.02300000000	1066689.29400000000
Parking_335	1065900.83900000000	1077459.97500000000
Parking_335-1	1066504.76100000000	1077409.87300000000
Parking_3408-1	1076836.26000000000	1067010.12300000000
Parking_3408-2	1077150.69300000000	1067263.12300000000
Parking_3412-1	1077868.27000000000	1067103.08200000000
Parking_3412-2	1077568.31400000000	1067244.03500000000
Parking_3418-2	1078106.39000000000	1066804.37000000000
Parking_3418-4	1077950.40800000000	1067926.60400000000
Parking_343	1065699.68500000000	1075796.60300000000
Parking_3434	1077182.30000000000	1064261.27700000000
Parking_3443	1079263.99800000000	1062418.19900000000
Parking_3482-1	1079648.28700000000	1064272.28100000000
Parking_3484	1075403.17200000000	1064592.69800000000
Parking_3494-2	1076212.94800000000	1067111.73300000000
Parking_3495	1080970.18300000000	1063429.12400000000
Parking_3504-1	1081120.03400000000	1063744.62800000000
Parking_3511-2	1076268.67400000000	1067665.52400000000
Parking_3521	1086715.54700000000	1062205.34600000000
Parking_3532	1086604.88100000000	1062630.17300000000
Parking_356	1066487.49300000000	1077711.90100000000
Parking_3567	1086675.27300000000	1063127.36700000000
Parking_3579	1086449.58200000000	1063991.16700000000
Parking_3583	1086237.55000000000	1064357.12200000000
Parking_3592	1086682.95800000000	1064830.00000000000
Parking_3592-2	1087091.62800000000	1064949.91500000000
Parking_3593	1087062.84700000000	1061932.55200000000
