Name	X-Coordinate	Y-Coordinate
Buf1_1437	1077352.238	1077692.723
Buf1_1437-1	1077690.502	1077159.787
Buf1_14412-1	1084072.104	1044619.051
Buf1_14412-2	1083971.358	1044783.161
Buf1_14418	1088264.009	1052504.221
Buf1_14428-1	1088301.537	1053624.323
Buf1_14428-2	1088401.78	1053055.669
Buf1_14433-1	1088263.071	1054262.836
Buf1_14433-2	1088466.339	1054068.654
Buf1_14452	1086308.014	1051195.589
Buf1_14453-4	1086118.889	1051733.506
Buf1_14457-2	1088593.34	1052584.072
Buf1_14468-1	1088636.532	1053517.628
Buf1_14468-2	1088904.971	1052858.363
Buf1_14478-1	1088995.116	1055044.417
Buf1_14478-2	1089086.422	1055004.725
Buf1_14478-3	1088950.426	1053756.357
Buf1_14545	1089704.453	1054520.209
Buf1_14593-2	1089485.593	1056099.397
Buf1_14601	1086295.337	1056415.713
Buf1_14603	1086024.205	1056354.542
Buf1_1464	1076882.908	1073028.565
Buf1_1469	1075174.384	1072860.319
Buf1_14693-1	1074509.154	1046484.802
Buf1_14693-2	1074658.156	1046451.667
Buf1_14694-1	1074832.673	1046406.755
Buf1_14694-2	1074727.496	1046397.131
Buf1_14702-1	1075039.722	1046566.95
Buf1_14702-2	1075182.443	1046294.069
Buf1_14702-3	1075320.671	1046115.468
Buf1_14702-4	1075136.015	1046659.902
Buf1_14714-1	1090454.129	1053256.663
Buf1_14714-2	1089975.381	1052935.087
Buf1_1483	1077068.769	1075423.437
Buf1_1483-1	1076925.225	1075298.351
Buf1_1483-2	1077214.932	1075232.232
Buf1_14837-1	1089942.649	1052405.566
Buf1_14837-2	1090320.546	1052466.972
Buf1_14851-1	1069004.65	1048844.11
Buf1_14858	1089943.118	1051997.339
Buf1_14876	1089959.922	1052720.083
Buf1_14879	1089966.632	1053286.124
Buf1_14884	1090011.506	1053867.03
Buf1_14885-1	1089136.97	1054054.462
Buf1_14885-2	1088973.181	1054166.24
Buf1_14885-3	1089323.208	1054225.311
Buf1_14885-4	1089476.491	1054077.878
Buf1_14885-5	1089895.573	1054104.77
Buf1_1492	1075859.67	1077681.65
Buf1_14923	1077182.341	1050911.829
Buf1_14926-1	1077202.983	1051306.399
Buf1_14926-2	1077111.059	1051146.728
Buf1_14929	1077170.876	1052156.834
Buf1_14962-1	1089730.986	1044170.603
Buf1_14962-2	1089627.16	1044189.527
Buf1_14966-1	1089763.161	1044932.449
Buf1_14966-2	1089615.388	1044909.783
Buf1_14966-3	1089620.711	1044580.019
Buf1_14966-4	1089623.412	1044776.779
Buf1_14966-5	1089627.61	1045032.83
Buf1_14980-1	1089753.867	1044540.107
Buf1_14980-2	1089370.567	1044397.552
Buf1_14980-3	1089617.584	1044360.391
Buf1_14997-1	1089985.393	1046180.537
Buf1_14997-10	1089979.731	1045784.482
Buf1_14997-11	1089980.743	1045984.009
Buf1_14997-12	1089977.156	1046378.058
Buf1_14997-13	1090251.947	1045612.654
Buf1_14997-14	1090246.506	1045821.133
Buf1_14997-15	1090266.874	1046052.636
Buf1_14997-16	1090213.336	1046418.832
Buf1_14997-17	1090259.709	1045465.026
Buf1_14997-2	1090245.944	1046251.289
Buf1_14997-3	1090234.541	1045128.423
Buf1_14997-4	1089975.397	1045126.495
Buf1_14997-5	1089779.097	1045250.307
Buf1_14997-6	1089620.87	1045303.782
Buf1_14997-7	1089632.134	1045154.057
Buf1_14997-8	1090055.958	1045429.933
Buf1_14997-9	1089992.749	1045578.882
Buf1_15001-1	1089642.842	1046121.572
Buf1_15001-2	1089641.426	1045868.236
Buf1_15001-3	1089642.217	1046383.553
Buf1_15001-4	1089784.474	1046183.907
Buf1_15001-5	1089774.818	1045808.183
Buf1_15001-6	1089777.305	1045923.239
Buf1_15001-7	1089775.847	1046031.567
Buf1_15001-8	1089774.266	1046395.134
Buf1_15013-1	1089733.439	1046928.265
Buf1_15013-2	1089746.147	1047510.017
Buf1_15013-3	1089754.725	1047341.867
Buf1_15013-4	1089733.618	1047141.773
Buf1_15013-5	1089752.005	1046699.736
Buf1_15017-4	1089754.029	1047793.994
Buf1_15017-5	1087182.67	1047732.156
Buf1_15023	1089773.902	1048475.617
Buf1_15051	1089873.465	1049080.028
Buf1_15053-1	1090204.921	1050168.782
Buf1_15053-3	1090068.148	1049979.636
Buf1_15053-4	1090050.543	1049610.463
Buf1_15053-5	1090044.453	1049370.703
Buf1_15061	1090087.448	1050293.556
Buf1_15063-2	1089969.857	1050412.259
Buf1_15070-1	1072814.704	1046463.953
Buf1_15070-2	1072943.115	1046775.334
Buf1_1507-1	1078822.944	1068318.469
Buf1_15079	1074173.976	1046276.065
Buf1_15187	1089717.239	1051636.244
Buf1_15191	1089694.189	1051824.465
Buf1_1538	1077585.776	1073259.217
Buf1_15390	1087460.931	1048418.594
Buf1_15404	1089197.326	1048662.765
Buf1_15452-1	1072476.939	1046805.798
Buf1_15452-2	1072369.449	1046615.182
Buf1_15457-1	1074243.771	1044738.176
Buf1_15457-2	1074343.594	1045103.468
Buf1_15460-2	1074232.733	1044515.293
Buf1_15465	1074223.815	1044039.447
Buf1_1548	1078132.87	1072867.152
Buf1_15527-1	1078415.817	1064398.842
Buf1_15527-2	1078177.982	1064472.277
Buf1_15635	1067422.723	1050849.923
Buf1_15639	1067837.397	1050364.377
Buf1_15655	1066781.778	1051750.163
Buf1_1577	1082152.263	1071958.757
Buf1_15862	1072381.468	1047001.41
Buf1_1594	1079837.095	1069849.436
Buf1_1594-2	1079678.284	1069904.403
Buf1_1596	1079603.769	1069336.906
Buf1_1596-2	1079695.404	1069541.161
Buf1_1598	1079703.128	1069092.654
Buf1_1598-2	1080930.059	1069420.235
Buf1_1598-3	1081938.211	1069900.533
Buf1_1600	1080811.989	1069116.111
Buf1_1606	1079732.544	1068066.879
Buf1_1606-2	1079359.639	1068341.468
Buf1_1606-3	1079246.79	1068480.346
Buf1_1606-4	1079841	1068580.724
Buf1_16074	1085709.252	1039113.619
Buf1_16095	1083166.19	1041649.564
Buf1_16164-1	1073525.839	1044143.645
Buf1_1629	1081449.153	1071436.876
Buf1_1629-1	1081189.564	1071478.457
Buf1_1635	1080145.874	1072788.619
Buf1_1670	1078581.421	1075858.824
Buf1_1676-2	1078609.616	1076549.152
Buf1_1676-3	1078279.067	1076859.002
Buf1_1676-4	1078865.308	1076837.317
Buf1_1685	1078553.399	1077135.31
Buf1_1691	1078739.643	1077475.008
Buf1_1697	1079094.527	1077294.326
Buf1_1701	1079361.89	1077655.278
Buf1_1703	1079821.765	1077556.875
Buf1_1720	1081398.576	1076667.913
Buf1_1722	1081814.631	1076618.969
Buf1_1728	1082785.077	1076254.559
Buf1_1741	1083131.142	1077072.151
Buf1_1741-1	1082996.26	1076953.315
Buf1_1741-2	1082803.214	1077129.38
Buf1_1741-3	1082486.176	1077545.413
Buf1_1741-4	1082568.746	1077683.328
Buf1_1757	1082496.024	1078007.239
Buf1_1757-1	1082586.613	1077861.37
Buf1_1765	1083493.737	1077452.769
Buf1_1769	1083628.749	1077786.958
Buf1_1771	1084219.242	1077353.736
Buf1_1771-1	1084408.388	1077150.096
Buf1_1771-2	1084038.953	1077287.569
Buf1_1783	1081783.293	1077201.16
Buf1_1783-1	1081026.396	1077180.188
Buf1_1787	1081749.846	1077542.718
Buf1_1787-1	1081070.581	1077518.627
Buf1_1787-2	1080838.059	1077429.353
Buf1_1795	1082468.593	1076126.008
Buf1_1795-1	1081540.511	1076348.106
Buf1_1816	1082930.768	1077804.813
Buf1_1831	1075407.595	1073043.457
Buf1_1831-1	1075421.805	1073379.248
Buf1_1833	1075926.771	1073005.431
Buf1_1833-1	1075748.044	1073415.704
Buf1_1839	1077350.669	1071572.083
Buf1_1919	1080026.715	1077687.107
Buf1_1929	1078885.964	1073239.693
Buf1_1929-2	1078328.662	1073337.465
Buf1_1929-3	1078521.278	1073076.263
Buf1_196	1063915.773	1075313.059
Buf1_1969	1072041.686	1075265.303
Buf1_1971	1071991.328	1075532.83
Buf1_198	1064136.357	1075909.438
Buf1_2003	1072072.68	1078022.028
Buf1_2011	1071673.495	1074638.376
Buf1_2011-1	1071880.636	1074728.61
Buf1_2013	1071682.416	1075316.193
Buf1_2013-1	1071620.507	1074999.358
Buf1_2013-2	1071849.714	1075206.502
Buf1_2019	1071830.509	1075702.863
Buf1_2024	1071594.665	1075952.256
Buf1_2024-1	1071815.433	1076058.144
Buf1_2027	1070989.407	1076248.792
Buf1_2027-1	1070583.608	1076507.016
Buf1_2047	1071218.633	1077553.37
Buf1_207	1064496.636	1076686.027
Buf1_2086	1072617.54	1073507.749
Buf1_2086-1	1072136.874	1073676.205
Buf1_2094	1072972.394	1073025.092
Buf1_2094-1	1073362.744	1073015.077
Buf1_2102-1	1072756.353	1072331.083
Buf1_2106	1072723.53	1071980.997
Buf1_2116	1072657.483	1071094.05
Buf1_2116-1	1073079.267	1071507.899
Buf1_2118	1072432.128	1073908.306
Buf1_2137	1072014.187	1071548.997
Buf1_2155	1072068.869	1074702.666
Buf1_2180	1072140.976	1070936.175
Buf1_2182	1071678.698	1071392.069
Buf1_2186	1071845.245	1070906.015
Buf1_2192	1071877.208	1070394.561
Buf1_2196-1	1072930.606	1071134.794
Buf1_2196-2	1072794.166	1071414.43
Buf1_2237	1071970.992	1075941.897
Buf1_224	1063315.49	1076307.733
Buf1_2269	1076878.469	1069792.846
Buf1_2269-1	1076695.33	1069617.004
Buf1_2269-2	1076751.815	1069364.505
Buf1_2281	1077474.361	1069551.834
