                0            1     2     3     4     5     6     7     8     9
125   1069923.701  1050589.825  14.0   5.0  27.0  39.0  31.0  24.0  28.0  54.0
126   1069949.408  1051965.856  29.0  19.0   7.0   3.0  46.0   3.0  35.0  84.0
127   1069979.703  1052356.017  29.0  19.0   7.0   3.0  46.0   3.0  35.0  84.0
128   1070020.602  1050991.449  14.0  95.0  27.0  64.0  31.0  82.0  28.0  15.0
129   1070048.655  1053338.733   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
130   1070051.122  1052593.239  29.0  19.0   7.0   3.0  26.0   3.0  18.0  84.0
131   1070086.122  1052568.239  29.0  19.0   7.0   3.0  26.0   3.0  18.0  84.0
132   1070094.934  1051456.962  29.0  95.0   7.0  64.0  11.0  39.0  35.0  84.0
133   1070096.143  1053015.208   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
134   1070104.789  1049996.026  14.0   5.0  27.0  39.0  31.0  24.0  28.0  15.0
135   1070131.143  1052990.208   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
136   1070139.789  1049971.026  14.0   5.0  27.0  39.0  31.0  24.0  28.0  15.0
137   1070147.236  1053724.724   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
138   1070147.555  1054585.708   6.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
139   1070175.067  1051761.469  29.0  19.0   7.0   3.0  11.0  39.0  35.0  84.0
140   1070182.236  1053699.724   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
141   1070182.555  1054560.708   6.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
142   1070244.865  1052164.125  29.0  19.0   7.0   3.0  11.0   3.0  18.0  84.0
143   1070266.677  1050993.599  14.0  68.0  27.0  20.0  31.0  82.0  39.0  15.0
144   1070279.865  1052139.125  36.0  19.0   7.0   3.0  11.0   3.0  18.0  84.0
145   1070286.334  1054251.077   6.0  61.0   2.0  13.0  12.0  13.0  17.0  79.0
146   1070287.733  1052386.787  36.0  19.0   7.0   3.0  26.0   3.0  18.0  84.0
147   1070321.334  1054226.077   6.0  61.0   2.0  13.0  12.0  13.0  17.0  79.0
148   1070325.186  1053553.901   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
149   1070350.564  1053132.330   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
150   1070351.422  1050189.543  14.0  68.0  32.0  20.0  31.0  82.0  28.0  15.0
151   1070360.186  1053528.901   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
152   1070392.628  1052639.198  36.0  19.0   7.0   3.0  26.0   3.0  18.0  84.0
153   1070407.476  1052057.130  36.0  19.0   7.0  41.0  11.0  39.0  18.0  84.0
154   1070451.072  1050352.952  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
155   1070469.702  1054870.546  34.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
